Schluessel;Name;Type;Wert
9374;Neustadt a.d.Waldnaab;Landkreis;20.7
9375;Regensburg;Landkreis;19.0
9376;Schwandorf;Landkreis;20.3
9377;Tirschenreuth;Landkreis;22.5
9461;Bamberg;;19.2
9462;Bayreuth;;21.5
9463;Coburg;;23.5
9464;Hof;;23.9
9471;Bamberg;Landkreis;18.7
9472;Bayreuth;Landkreis;22.1
9473;Coburg;Landkreis;22.9
9474;Forchheim;Landkreis;20.0
9475;Hof;Landkreis;25.6
9476;Kronach;Landkreis;23.9
9477;Kulmbach;Landkreis;23.8
9478;Lichtenfels;Landkreis;22.2
9479;Wunsiedel i.Fichtelgebirge;Landkreis;26.2
9561;Ansbach;;21.4
9562;Erlangen;;17.9
9563;Fürth;;18.3
9564;Nürnberg;;20.2
9565;Schwabach;;21.8
9571;Ansbach;Landkreis;19.8
9572;Erlangen-Höchstadt;Landkreis;20.2
9573;Fürth;Landkreis;22.8
9574;Nürnberger Land;Landkreis;22.2
9575;Neustadt a.d.Aisch-Bad Windsheim;Landkreis;20.6
9576;Roth;Landkreis;20.6
9577;Weißenburg-Gunzenhausen;Landkreis;21.6
9661;Aschaffenburg;;20.7
9662;Schweinfurt;;23.8
9663;Würzburg;;20.0
9671;Aschaffenburg;Landkreis;21.1
9672;Bad Kissingen;Landkreis;24.1
9673;Rhön-Grabfeld;Landkreis;21.7
9674;Haßberge;Landkreis;20.4
9675;Kitzingen;Landkreis;20.4
9676;Miltenberg;Landkreis;21.0
9677;Main-Spessart;Landkreis;22.5
9678;Schweinfurt;Landkreis;21.4
9679;Würzburg;Landkreis;20.9
9761;Augsburg;;19.5
9762;Kaufbeuren;;22.9
9763;Kempten (Allgäu);;22.2
9764;Memmingen;;21.6
9771;Aichach-Friedberg;Landkreis;19.6
9772;Augsburg;Landkreis;20.3
9773;Dillingen a.d.Donau;Landkreis;19.9
9774;Günzburg;Landkreis;19.2
9775;Neu-Ulm;Landkreis;20.1
9776;Lindau (Bodensee);Landkreis;22.5
9777;Ostallgäu;Landkreis;21.0
9778;Unterallgäu;Landkreis;21.0
9779;Donau-Ries;Landkreis;19.6
9780;Oberallgäu;Landkreis;22.5
10041;Saarbrücken;Regionalverband;22.7
10042;Merzig-Wadern;Landkreis;22.2
10043;Neunkirchen;Landkreis;24.1
10044;Saarlouis;Landkreis;23.6
10045;Saarpfalz-Kreis;;24.6
10046;St. Wendel;Landkreis;24.0
11000;Berlin;;19.2
12051;Brandenburg an der Havel;Kreisfreie Stadt;27.3
12052;Cottbus;Kreisfreie Stadt;24.7
12053;Frankfurt (Oder);Kreisfreie Stadt;25.2
12054;Potsdam;Kreisfreie Stadt;19.6
12060;Barnim;Landkreis;23.3
12061;Dahme-Spreewald;Landkreis;23.8
12062;Elbe-Elster;Landkreis;27.4
12063;Havelland;Landkreis;22.1
12064;Märkisch-Oderland;Landkreis;23.5
12065;Oberhavel;Landkreis;22.5
12066;Oberspreewald-Lausitz;Landkreis;28.3
12067;Oder-Spree;Landkreis;25.8
12068;Ostprignitz-Ruppin;Landkreis;24.7
12069;Potsdam-Mittelmark;Landkreis;21.9
12070;Prignitz;Landkreis;27.4
12071;Spree-Neiße;Landkreis;27.0
12072;Teltow-Fläming;Landkreis;22.3
12073;Uckermark;Landkreis;27.0
13003;Kreisfreie Stadt Rostock;Hansestadt;23.5
13004;Kreisfreie Stadt Schwerin;Landeshauptstadt;25.1
13071;Landkreis Mecklenburgische Seenplatte;;25.0
13072;Landkreis Rostock;;23.2
13073;Landkreis Vorpommern-Rügen;;25.4
13074;Landkreis Nordwestmecklenburg;;22.9
13075;Landkreis Vorpommern-Greifswald;;24.5
13076;Landkreis Ludwigslust-Parchim;;23.1
14511;Chemnitz;Stadt;27.6
14521;Erzgebirgskreis;;28.8
14522;Mittelsachsen;Landkreis;27.6
14523;Vogtlandkreis;;29.5
14524;Zwickau;Landkreis;28.8
14612;Dresden;Stadt;21.8
14625;Bautzen;Landkreis;26.9
14626;Görlitz;Landkreis;29.1
14627;Meißen;Landkreis;27.0
14628;Sächsische Schweiz-Osterzgebirge;Landkreis;27.1
14713;Leipzig;Stadt;20.5
14729;Leipzig;Landkreis;26.1
14730;Nordsachsen;Landkreis;25.2
15001;Dessau-Roßlau;Kreisfreie Stadt;30.8
15002;Halle (Saale);Kreisfreie Stadt;23.9
15003;Magdeburg;Kreisfreie Stadt;24.1
15081;Altmarkkreis Salzwedel;;23.6
15082;Anhalt-Bitterfeld;Landkreis;27.3
15083;Börde;Landkreis;23.1
15084;Burgenlandkreis;;27.3
15085;Harz;Landkreis;27.5
15086;Jerichower Land;Landkreis;25.2
15087;Mansfeld-Südharz;Landkreis;28.9
15088;Saalekreis;;25.1
15089;Salzlandkreis;;27.4
15090;Stendal;Landkreis;24.8
15091;Wittenberg;Landkreis;28.0
16051;Erfurt;krsfr. Stadt;21.9
16052;Gera;krsfr. Stadt;28.4
16053;Jena;krsfr. Stadt;21.1
16054;Suhl;krsfr. Stadt;31.5
16055;Weimar;krsfr. Stadt;22.8
16056;Eisenach;krsfr. Stadt;25.6
16061;Eichsfeld;Kreis;23.1
16062;Nordhausen;Kreis;25.8
16063;Wartburgkreis;;24.9
16064;Unstrut-Hainich-Kreis;;24.5
16065;Kyffhäuserkreis;;26.5
16066;Schmalkalden-Meiningen;Kreis;25.9
16067;Gotha;Kreis;24.8
16068;Sömmerda;Kreis;23.8
16069;Hildburghausen;Kreis;24.3
16070;Ilm-Kreis;;25.4
16071;Weimarer Land;Kreis;23.4
16072;Sonneberg;Kreis;27.4
16073;Saalfeld-Rudolstadt;Kreis;28.4
16074;Saale-Holzland-Kreis;;25.4
16075;Saale-Orla-Kreis;;26.1
16076;Greiz;Kreis;28.5
16077;Altenburger Land;Kreis;29.9
